@relation auto-analyze-full

@attribute ID numeric
@attribute neg numeric
@attribute neu numeric
@attribute pos numeric
@attribute compound numeric
@attribute class {negative,positive,neutral}

@data
63682,0.068,0.812,0.12,0.7994,positive
56986,0.051,0.793,0.156,0.9546,positive
52452,0.113,0.815,0.073,-0.4019,negative
57330,0,0.686,0.314,0.9798,positive
62698,0.038,0.775,0.187,0.9743,positive
29996,0.035,0.885,0.08,0.69,negative
46379,0,0.742,0.258,0.8957,neutral
24396,0.021,0.857,0.121,0.8825,positive
50523,0.086,0.629,0.285,0.9911,neutral
12920,0.069,0.827,0.104,0.6249,negative
48774,0.016,0.677,0.307,0.994,neutral
319,0,0.771,0.229,0.8847,positive
11235,0.045,0.868,0.087,0.709,positive
4724,0.027,0.585,0.388,0.9954,positive
70551,0,0.804,0.196,0.8316,positive
3219,0.022,0.779,0.199,0.9672,positive
26979,0.129,0.707,0.165,0.4102,negative
5472,0,0.756,0.244,0.9565,positive
12327,0.24,0.76,0,-0.7622,negative
34990,0.088,0.795,0.116,0,neutral
65208,0.025,0.645,0.33,0.9551,positive
50196,0.058,0.79,0.151,0.8526,neutral
39487,0,0.873,0.127,0.9309,negative
71467,0,0.789,0.211,0.9638,positive
42633,0.018,0.719,0.263,0.977,positive
3239,0.082,0.855,0.063,-0.1511,positive
36773,0,0.854,0.146,0.916,positive
17072,0.075,0.883,0.042,-0.8046,negative
6584,0.118,0.715,0.166,0.6838,negative
17106,0.169,0.641,0.19,0.4211,negative
5438,0,0.719,0.281,0.9715,positive
56215,0,0.852,0.148,0.7096,positive
2477,0.012,0.876,0.112,0.9009,negative
51820,0,0.774,0.226,0.9111,neutral
10868,0.395,0.605,0,-0.956,negative
45870,0.03,0.97,0,-0.3643,negative
65050,0.034,0.759,0.207,0.8959,positive
45030,0.064,0.709,0.226,0.9816,neutral
35450,0,0.483,0.517,0.9312,positive
9041,0.064,0.829,0.107,0.4404,negative
53599,0.113,0.887,0,-0.6708,negative
64811,0.014,0.938,0.048,0.611,neutral
9145,0,0.74,0.26,0.9729,positive
31317,0,0.683,0.317,0.9401,positive
513,0.087,0.857,0.055,-0.5709,negative
29218,0.026,0.685,0.289,0.9623,positive
42357,0.071,0.75,0.18,0.9147,positive
22889,0.047,0.678,0.275,0.9771,positive
8717,0,0.794,0.206,0.8862,neutral
31065,0,0.77,0.23,0.7627,positive
11257,0,0.797,0.203,0.9641,positive
44812,0.02,0.755,0.225,0.9726,neutral
29343,0.049,0.75,0.201,0.9586,negative
32922,0,0.918,0.082,0.8164,positive
41194,0.104,0.896,0,-0.296,positive
36761,0.076,0.729,0.195,0.8264,positive
55916,0,0.801,0.199,0.9863,positive
38745,0,0.731,0.269,0.9161,positive
14012,0.028,0.808,0.164,0.9781,positive
60166,0,0.647,0.353,0.9215,positive
3211,0,0.767,0.233,0.802,positive
32304,0,0.788,0.212,0.6792,positive
22157,0.091,0.646,0.263,0.9905,positive
29365,0.019,0.624,0.357,0.9946,positive
70283,0.04,0.71,0.25,0.9606,positive
34767,0.154,0.75,0.095,-0.6258,positive
70896,0,0.874,0.126,0.5844,positive
55557,0.056,0.836,0.108,0.4738,positive
11920,0.108,0.725,0.167,0.9065,negative
32220,0,0.55,0.45,0.9571,positive
51195,0,0.631,0.369,0.9734,neutral
45200,0.115,0.77,0.116,-0.2169,neutral
14948,0.138,0.748,0.114,0.0088,negative
